,released_year,released_month,released_day,bpm,danceability_%,valence_%,energy_%,acousticness_%,instrumentalness_%,liveness_%,speechiness_%
395,2015,1,1,147,51,62,79,22,13,14,3
396,2022,11,20,115,71,34,88,16,0,44,4
397,2022,4,21,174,70,57,64,23,0,8,32
398,2023,1,12,90,68,83,71,3,0,31,8
399,2022,7,21,141,41,9,25,84,1,14,4
400,2014,1,1,82,68,50,49,56,0,8,4
401,2020,3,20,92,47,25,43,62,0,32,3
402,2022,12,12,116,77,65,80,6,0,15,4
403,2017,6,2,124,79,59,86,4,0,8,11
404,2023,1,27,125,71,83,89,1,0,17,9
405,2022,8,19,90,80,71,69,2,0,27,10
406,2022,4,27,83,46,34,64,31,0,7,34
407,2019,10,31,124,79,68,79,1,0,10,8
408,2014,8,8,140,58,4,60,7,41,8,3
409,2022,9,16,154,64,61,91,15,0,72,4
410,2021,7,23,150,74,89,70,2,0,5,6
411,2020,1,10,186,41,9,61,2,0,12,5
412,2015,4,22,166,40,23,48,5,0,12,3
413,2022,9,22,107,87,20,83,0,4,31,9
414,2022,9,9,87,87,52,52,31,0,28,24
415,2022,8,5,82,40,39,64,21,0,7,7
416,2022,12,9,114,46,60,28,91,0,21,4
417,2022,11,4,148,47,15,52,38,13,29,5
418,2022,7,20,140,91,97,57,38,0,40,29
419,2022,10,3,101,90,76,81,15,24,33,6
420,2022,1,17,140,81,6,84,5,23,6,6
421,2022,12,2,88,49,24,66,19,0,18,29
422,2021,6,4,180,64,44,65,28,0,14,12
423,2022,8,12,133,95,91,89,6,0,31,24
424,1985,9,16,108,63,20,55,72,0,6,6
425,1973,1,5,80,39,24,43,39,0,23,3
426,2022,8,11,75,80,46,62,3,6,11,46
427,2021,7,30,121,67,26,64,52,0,17,10
428,2022,9,28,140,58,17,62,18,0,20,8
429,2020,9,3,126,81,59,90,5,0,36,3
430,2022,10,12,102,58,29,94,0,0,9,11
431,2022,4,8,82,70,31,34,60,1,11,4
432,2020,12,24,121,46,53,78,23,0,72,6
433,2020,3,27,103,70,92,83,1,0,7,6
434,2021,6,25,108,82,88,76,9,0,12,9
435,2022,9,14,85,65,36,47,31,0,12,10
436,2022,3,14,125,84,70,69,1,0,5,5
437,2022,10,21,120,69,40,39,41,0,13,6
438,2022,7,17,94,58,44,57,57,0,10,3
439,1930,1,1,130,65,49,80,22,4,7,5
440,2012,1,1,110,74,51,74,2,0,29,4
441,1994,10,28,150,34,33,63,16,0,7,4
442,1984,1,1,107,74,88,65,28,0,46,3
443,1958,1,1,140,70,85,41,71,0,45,5
444,1957,1,1,119,74,78,37,84,0,6,3
445,2011,10,14,93,35,38,23,91,0,29,3
446,2013,12,13,133,46,53,63,5,0,30,18
447,1963,10,14,202,24,76,60,77,0,12,4
448,1959,11,16,134,45,72,24,91,0,18,4
449,2017,1,1,105,72,33,51,48,0,9,3
450,2013,10,25,160,51,69,81,0,0,21,5
451,1970,11,1,148,50,96,82,47,0,34,4
452,2011,10,14,151,65,70,47,87,0,9,4
453,2011,1,1,162,67,88,54,51,0,9,4
454,1963,11,22,92,53,84,77,40,0,32,3
455,2022,12,9,152,65,35,65,44,18,21,7
456,2022,12,9,65,71,55,26,85,0,13,8
457,1971,12,1,147,33,39,61,32,0,77,3
458,2022,12,8,150,73,71,69,53,0,32,9
459,1952,1,1,140,67,81,36,64,0,15,3
460,1946,11,1,139,36,22,15,84,0,11,4
461,1979,11,16,95,75,74,58,36,0,9,3
462,1984,11,25,115,60,23,57,0,2,27,3
463,2022,12,9,125,62,59,43,84,3,11,5
464,2022,12,9,76,60,19,20,78,0,11,5
465,1984,1,1,101,72,91,87,14,0,13,3
466,1950,1,1,143,60,86,32,88,0,34,6
467,2022,12,9,119,51,51,66,67,0,9,23
468,2022,12,8,78,67,22,59,76,1,15,16
469,1942,1,1,96,23,19,25,91,0,40,3
470,1986,1,1,180,51,87,58,36,0,18,4
471,1963,11,22,126,34,35,76,39,0,8,5
472,2022,12,9,150,43,42,44,57,0,15,6
473,2022,12,9,90,53,47,74,9,0,34,4
474,2022,12,9,160,72,78,68,28,0,11,12
475,2017,11,10,114,59,60,94,24,0,10,4
476,1958,1,1,113,73,72,32,77,0,15,5
477,2000,11,7,147,67,69,72,17,0,19,3
478,2022,11,4,100,70,92,59,3,0,10,3
479,2022,12,2,155,49,42,77,3,0,12,9
480,2021,12,3,107,54,41,39,51,0,11,16
481,2022,12,2,112,80,15,54,9,0,38,5
482,2022,10,31,166,70,57,57,9,20,11,7
483,1959,1,1,107,69,96,36,81,0,8,4
484,2022,12,9,81,47,33,68,24,0,22,38
485,2022,12,9,150,79,77,46,5,0,11,7
486,2022,10,21,110,66,19,32,69,0,12,4
487,2022,10,21,108,64,4,40,6,0,10,6
488,2022,9,28,130,89,48,74,30,0,7,36
489,2022,10,21,164,70,39,56,6,0,9,7
490,2022,5,6,114,80,42,68,2,0,66,4
491,2005,9,20,93,63,93,88,1,0,12,4
492,2021,6,25,90,87,51,69,36,0,9,8
493,2022,12,8,128,45,35,68,78,0,39,8
494,2022,5,6,97,83,47,80,2,0,24,9
495,1958,1,1,152,69,94,71,79,0,7,8
496,1957,1,1,175,51,94,34,73,0,10,5
497,2022,12,9,116,61,48,55,67,0,16,8
498,2022,12,2,80,33,51,59,76,0,44,6
499,2022,8,25,93,63,34,86,26,0,21,39
500,2021,8,13,122,70,42,54,30,0,37,5
501,2022,1,7,122,70,91,79,3,0,7,10
502,2022,1,7,135,70,60,58,4,0,16,3
503,2022,1,5,109,60,45,47,62,0,31,5
504,2022,1,7,93,65,82,74,27,0,32,5
505,2021,8,20,125,85,64,81,2,5,7,9
506,2021,11,19,206,58,83,45,36,0,11,8
507,2021,6,24,130,76,44,77,1,0,13,3
508,2022,1,7,121,80,62,51,2,0,9,8
509,2022,1,7,123,74,35,73,0,0,21,5
510,2017,6,23,122,67,50,67,15,0,30,4
511,2022,1,7,143,53,50,79,0,0,8,3
512,2021,8,6,121,70,35,77,1,0,26,4
513,2021,5,14,166,56,68,66,28,0,11,18
514,2022,1,7,135,41,27,64,36,0,60,3
515,2022,1,7,87,49,49,59,44,0,35,21
516,2021,4,9,111,77,74,66,30,0,13,3
517,2022,1,7,110,75,85,84,10,0,31,19
518,2021,6,11,130,66,19,61,30,0,9,7
519,2020,9,18,179,61,76,51,30,0,38,15
520,2019,7,26,93,74,53,73,61,0,13,4
521,2022,1,7,78,27,10,49,62,0,49,5
522,2021,11,19,180,65,37,58,2,0,4,31
523,2022,1,7,86,28,13,41,50,0,19,3
524,2021,9,17,88,74,55,85,1,0,5,22
525,2021,11,5,97,68,72,78,4,0,7,5
526,2017,12,8,134,71,59,80,13,0,36,5
527,2020,9,21,116,75,36,76,12,0,10,10
528,2021,10,5,170,64,14,70,9,0,9,8
529,2021,9,10,140,83,40,55,16,0,14,23
530,2021,11,4,118,75,46,76,3,0,9,4
531,2021,7,30,65,31,31,24,76,0,14,4
532,2021,10,22,120,56,16,67,0,0,11,4
533,2021,5,21,176,29,12,33,68,0,12,5
534,2021,9,10,180,59,69,61,84,0,46,36
535,2021,1,8,144,59,21,43,76,0,10,7
536,2021,11,30,133,82,52,61,38,0,14,27
537,2021,11,12,93,63,21,52,28,0,9,3
538,2022,1,7,122,77,25,62,34,0,23,3
539,2021,11,19,88,53,55,73,9,0,3,5
540,2022,1,5,170,70,61,44,40,0,37,4
541,2022,1,7,94,46,55,50,71,0,10,11
542,2021,11,18,170,65,46,47,12,0,13,16
543,2021,10,27,90,79,79,70,57,0,66,8
544,2021,12,1,78,40,7,29,62,0,9,3
545,2018,3,9,94,57,36,58,5,0,15,3
546,2021,10,30,73,83,11,41,0,0,36,14
